Aff,Neg,Judge,Win
Trojan Independent PM,Amador Valley LA,Daniel Shatzkin,Aff
Flower Mound AM,BASIS Phoenix RS,William Shachar,Neg
Monta Vista SC,Northland Christian AH,Michael Harris,Neg
Cornerstone ES,Mercer Island Independent JY,Leslie Rini,Neg
Altamont JS,Georgians Independent HJ,sim low,Aff
Southlake Carroll IM,Dougherty Valley DK,Wyllene Turner,Neg
Boston Latin RB,Monta Vista EY,Helen Moon,Neg
Golden State TR,Stockdale CI,Joygill Moriah,Neg
Memorial EJ,Georgians Independent PC,Michael Stewart,Neg
Amador Valley EM,ADL VK,Amanda Ciocca,Aff
Millburn LH,Loyola TH,Alfonso Arreola,Neg
Westwood AS,Cabot KB,Gage Larson,Neg
Lynbrook OM,Colleyville Heritage CB,Aashir Sanjrani,Aff
Golden State CW,Georgians Independent NF,Nathan Brown,Neg
Georgians Independent AS,Westwood DV,Mallory Henninger,Aff
Sharks Independent WZ,Bronx Science LS,Aman Jha,Neg
Lexington GC,Bellevue Youth ZF,Allyson Spurlock,Aff
Acton-Boxborough AK,Coppell KT,Srinivasan Kannan Ramarao,Neg
Northern Valley AC,Bronx Science KO,Hudson Witte,Neg
Memorial CS,Heritage High RL,Kate Totz,Aff
Poly Prep RG,Able2Shine MH,Nevaeh Rita Sencion,Aff
Lovett EL,BASIS Chandler AR,Ashley Crosby,Aff
Walt Whitman SC,Phillips Exeter RQ,Sruthi Ilangovan,Neg
BASIS Scottsdale AK,Sharks Independent BF,Eva Lamberson,Neg
Cary Acad LM,Monta Vista HL,Patrick Fox,Neg
Lovejoy TK,Harrison AN,Aaron Fernandez,Aff
Lexington AL,Peninsula KN,Truman Le,Neg
Westmont AL,Lincoln East KP,Thomas Latta,Neg
Papaya Valley SK,Dougherty Valley SV,Tony Zhu,Neg
Lexington LY,Dougherty Valley HS,Prachi Sharma,Aff
OCSA RS,Cupertino Independent AC,Kumail Zaidi,Aff
Mavericks RS,Bronx Science SC,Scott Brown,Aff
Sharks Independent JD,Brophy VF,Charles Zenhausern,Neg
Hill JG,Sharks Independent WL,Blake Ziegler,Neg
Milpitas VP,Altamont JSh,Jimmy Wu,Aff
Loyola ED,APDebate Independent AP,Phoenix Pittman,Neg
Sharks Independent YC,Westmont YN,Klil Loeb,Aff
Altamont WM,Dougherty Valley KJ,Aadi Patil,Neg
Village SL,Bronx Science SS,Sonnie Picallo,Neg
Altamont SB,Memorial CSu,Katerina Panagiotopoulos,Aff
Greenhill MA,Isidore Newman SE,Yesh Rao,Neg
Bronx Science CH,Mission San Jose MW,Robert Ou,Neg
MSTW Independent AD,Westwood AU,Fianah McMillan,Neg
Monta Vista AA,Li Unaffiliated RL,Adam Mimou,Aff
Lakeside PK,Wayzata NS,Ishan Rereddy,Neg
Sonoma AM,Millard North KB,Nicholas Ford,Aff
Bronx Science JT,Dougherty Valley MP,Chongwoo Kim,Neg
Vestavia Hills MH,Lynbrook NM,Viren Mehta,Aff
Lake Buena Vista AR,Bronx Science AR,David Guidry,Neg
Dougherty Valley NM,Horace Greeley SR,Pankaj Verma,Aff
Bellevue Youth NW,Cypress Bay JR,David Becker,Aff
Wheatley AM,Lakeside SH,Bryce Sheffield,Neg
Awty International DC,Peninsula BS,Lydia Wang,Neg
Northstar Academy HS - Newark JO,Lexington OO,Brice Ezell,Neg
Dougherty Valley PN,Holy Trinity Episcopal AR,Brett Cryan,Neg
Dougherty Valley SL,Brentwood RA,Sherry Kim,Neg
Isidore Newman DC,Horace Greeley CC,Chelsea Hodgson,Aff
Loyola MT,Horace Greeley AM,Ashton Spradling,Neg
BASIS Scottsdale SS,Sharks Independent EC,Leo Shao,Aff
Foothill CL,Hawken JK,X Braithwaite,Neg
Clark Independent RC,Loyola TG,Bob Yang,Neg
Wayzata BF,Lynbrook ST,Neel Kanamangala,Neg
Los Alamos AS,Westmont MD,Arpita Surkunte,Aff
Edgemont AP,Charlottesville SS,Smaranika Mohapatra,Neg
Bronx Science KL,BASIS Scottsdale TK,Dustin Wallace,Neg
Mountain Lakes EW,Southlake Carroll SK,Patrick Maher,Aff
BASIS Scottsdale JV,Walt Whitman HZ,Delon Fuller,Neg
Colleyville Heritage GM,Bronx Science GG,Jim Sydnor,Aff
BASIS Silicon Valley VP,Golden State SS,Dylan McEntyre,Aff
West Windsor Plainsboro HS North NN,Michael E. DeBakey PN,Liang Chen,Aff
Foothill AV,BASIS Silicon Valley MD,Andres Marquez,Neg
Harrison AG,Millburn RD,Queen Eche,Neg
,Westmont AH,,Neg BYE
